Wall time,Metrics/EnvironmentSteps,Metrics/AverageReturn
1762553368.719104,100,-100.0
1762553369.3606014,200,-100.0
1762553370.0136597,300,-100.0
1762553370.6689947,400,-100.0
1762553371.3377757,500,-100.0
1762553372.0285537,600,-99.0
1762553372.69812,700,-100.0
1762553373.407301,800,-100.0
1762553374.1423001,900,-100.0
1762553374.9461546,1000,-100.0
1762553375.6664765,1100,-100.0
1762553376.361494,1200,-100.0
1762553377.0582974,1300,-100.0
1762553377.755796,1400,-100.0
1762553378.4898076,1500,-100.0
1762553379.2098324,1600,-100.0
1762553379.9101777,1700,-100.0
1762553380.6181104,1800,-86.0
1762553381.3205247,1900,-100.0
1762553382.0590007,2000,-100.0
1762553382.85426,2100,-99.0
1762553383.6278315,2200,-98.0
1762553384.347071,2300,-100.0
1762553385.0850196,2400,-100.0
1762553385.8128881,2500,-100.0
1762553386.5466127,2600,-88.0
1762553387.30613,2700,-99.0
1762553388.078812,2800,-100.0
1762553388.831511,2900,-100.0
1762553389.5718722,3000,-100.0
1762553390.3235722,3100,-100.0
1762553391.0812726,3200,-100.0
1762553391.9058726,3300,-98.0
1762553392.7049441,3400,-100.0
1762553393.508736,3500,-93.0
1762553394.324359,3600,-100.0
1762553395.1264107,3700,-100.0
1762553395.939959,3800,-96.0
1762553396.7580583,3900,-100.0
1762553397.639217,4000,-100.0
1762553398.4544141,4100,-97.0
1762553399.234959,4200,-100.0
1762553400.011166,4300,-88.0
1762553400.8554475,4400,-69.0
1762553401.7158365,4500,-100.0
1762553402.5400424,4600,-88.0
1762553403.340109,4700,-51.0
1762553404.1637707,4800,-65.0
1762553405.0276852,4900,-33.0
1762553405.8913372,5000,-58.0
1762553406.7417548,5100,-68.0
1762553407.615075,5200,-32.0
1762553408.4758513,5300,-65.0
1762553409.318066,5400,-31.0
1762553410.1788688,5500,-71.0
1762553411.001693,5600,-40.0
1762553411.8435907,5700,-38.0
1762553412.6811996,5800,-30.0
1762553413.580623,5900,-30.0
1762553414.4356408,6000,-26.0
1762553415.3225734,6100,-20.0
1762553416.2511463,6200,-15.0
1762553417.1078925,6300,-11.0
1762553417.9740202,6400,-22.0
1762553418.82134,6500,-32.0
1762553419.681839,6600,-25.0
1762553420.5619607,6700,-10.0
1762553421.478982,6800,-26.0
1762553422.4179356,6900,-29.0
1762553423.3348787,7000,-5.0
1762553424.2611203,7100,-9.0
1762553425.1878471,7200,-12.0
1762553426.1110427,7300,-19.0
1762553427.048961,7400,-5.0
1762553427.9913635,7500,-17.0
1762553428.9124153,7600,-1.0
1762553429.853877,7700,-6.0
1762553430.765214,7800,-4.0
1762553431.6924284,7900,-12.0
1762553432.6494906,8000,-12.0
1762553433.620651,8100,-8.0
1762553434.541645,8200,-17.0
1762553435.448136,8300,-3.0
1762553436.3715818,8400,-13.0
1762553437.2979386,8500,-7.0
1762553438.2281876,8600,-9.0
1762553439.2117786,8700,-9.0
1762553440.1361458,8800,-3.0
1762553441.068324,8900,-8.0
1762553442.0073273,9000,-4.0
1762553442.94292,9100,-11.0
1762553443.9519556,9200,-15.0
1762553444.9585311,9300,-9.0
1762553445.957636,9400,-3.0
1762553446.9682071,9500,-3.0
1762553447.9774249,9600,-18.0
1762553448.937152,9700,-2.0
1762553449.8909402,9800,-1.0
1762553450.884936,9900,-9.0
1762553451.9733732,10000,-16.0
1762553453.0982673,10100,-6.0
1762553454.12464,10200,-7.0
1762553455.1440797,10300,-5.0
1762553456.1720364,10400,-6.0
1762553457.1993277,10500,-4.0
1762553458.239935,10600,-4.0
1762553459.2641633,10700,-10.0
1762553460.3095388,10800,-6.0
1762553461.3581457,10900,-6.0
1762553462.4472044,11000,-7.0
1762553463.4269333,11100,-9.0
1762553464.4138587,11200,0.0
1762553465.4004507,11300,-4.0
1762553466.4050746,11400,-6.0
1762553467.479179,11500,-5.0
1762553468.4777706,11600,-9.0
1762553469.493287,11700,-4.0
1762553470.5507452,11800,-6.0
1762553471.5531003,11900,-3.0
1762553472.6104891,12000,-4.0
1762553473.7214534,12100,-8.0
1762553474.809059,12200,-7.0
1762553475.890775,12300,-2.0
1762553476.980015,12400,-4.0
1762553478.0568478,12500,-8.0
1762553479.1432693,12600,-11.0
1762553480.208143,12700,-4.0
1762553481.246858,12800,-4.0
1762553482.3126616,12900,-6.0
1762553483.3905182,13000,-3.0
1762553484.470068,13100,-4.0
1762553485.5695732,13200,-3.0
1762553486.680964,13300,-3.0
1762553487.7781687,13400,-2.0
1762553488.8783705,13500,-12.0
1762553490.0368793,13600,-5.0
1762553491.1337068,13700,-3.0
1762553492.2449203,13800,-6.0
1762553493.381785,13900,-6.0
1762553494.5572968,14000,-6.0
1762553495.6799963,14100,-7.0
1762553496.7990844,14200,-4.0
1762553497.9278905,14300,-7.0
1762553499.0547147,14400,-7.0
1762553500.2231848,14500,-3.0
1762553501.3597026,14600,-4.0
1762553502.5001028,14700,-10.0
1762553503.6387134,14800,-3.0
1762553504.7750695,14900,-11.0
1762553505.9271028,15000,-6.0
1762553507.0840542,15100,-8.0
1762553508.1716845,15200,-15.0
1762553509.2458143,15300,-2.0
1762553510.3333442,15400,-4.0
1762553511.408528,15500,-12.0
1762553512.501843,15600,-8.0
1762553513.599013,15700,-4.0
1762553514.6853216,15800,-5.0
1762553515.7799034,15900,-9.0
1762553516.8701098,16000,-5.0
1762553517.9663537,16100,-11.0
1762553519.0678508,16200,-8.0
1762553520.1626568,16300,-16.0
1762553521.2971137,16400,-3.0
1762553522.4661942,16500,-11.0
1762553523.6413565,16600,-5.0
1762553524.8098438,16700,-5.0
1762553525.982065,16800,-4.0
1762553527.1296244,16900,-3.0
1762553528.2916667,17000,-4.0
1762553529.3989217,17100,-5.0
1762553530.5255518,17200,-6.0
1762553531.6702547,17300,-3.0
1762553532.8668103,17400,-6.0
1762553534.111328,17500,-5.0
1762553535.2983813,17600,-4.0
1762553536.4865367,17700,-8.0
1762553537.6908064,17800,-7.0
1762553538.9046638,17900,-2.0
1762553540.0979548,18000,-6.0
1762553541.3106582,18100,-3.0
1762553542.4394,18200,-7.0
1762553543.5663147,18300,-7.0
1762553544.7410047,18400,-2.0
1762553545.94233,18500,-6.0
1762553547.1072667,18600,-3.0
1762553548.2538245,18700,-8.0
1762553549.52432,18800,-2.0
1762553550.7302718,18900,-3.0
1762553551.9243484,19000,-10.0
1762553553.1542983,19100,-9.0
1762553554.375654,19200,-4.0
1762553555.5936525,19300,-3.0
1762553556.8114743,19400,-5.0
1762553557.9941595,19500,-5.0
1762553559.159639,19600,-5.0
1762553560.3853333,19700,-10.0
1762553561.6096654,19800,-2.0
1762553562.7795053,19900,-6.0
1762553563.9533513,20000,-7.0
1762553565.2687364,20100,-5.0
1762553566.5149274,20200,-6.0
1762553567.7464156,20300,-7.0
1762553568.993512,20400,-6.0
1762553570.1941595,20500,-6.0
1762553571.376809,20600,-4.0
1762553572.6153734,20700,-3.0
1762553573.8519337,20800,-8.0
1762553575.097883,20900,-6.0
1762553576.3363001,21000,-12.0
1762553577.5931737,21100,-6.0
1762553578.835401,21200,-3.0
1762553580.080905,21300,-9.0
1762553581.3298585,21400,-5.0
1762553582.581263,21500,-8.0
1762553583.7687037,21600,-3.0
1762553584.9613857,21700,-3.0
1762553586.2143269,21800,-7.0
1762553587.4694695,21900,-5.0
1762553588.7232387,22000,-4.0
1762553589.967064,22100,-9.0
1762553591.22456,22200,-4.0
1762553592.5005212,22300,-2.0
1762553593.761328,22400,-7.0
1762553595.0126429,22500,-3.0
1762553596.2861679,22600,-4.0
1762553597.554533,22700,-5.0
1762553598.8133664,22800,-4.0
1762553600.0766983,22900,-10.0
1762553601.3476954,23000,-2.0
1762553602.5500557,23100,-1.0
1762553603.7481132,23200,-3.0
1762553604.9627235,23300,-9.0
1762553606.1601686,23400,-11.0
1762553607.3791242,23500,-4.0
1762553608.638189,23600,-2.0
1762553609.916741,23700,-4.0
1762553611.195362,23800,-4.0
1762553612.4806151,23900,-3.0
1762553613.781365,24000,-6.0
1762553615.0161164,24100,-3.0
1762553616.2864149,24200,-2.0
1762553617.5748134,24300,-8.0
1762553618.8646135,24400,-2.0
1762553620.1675181,24500,-3.0
1762553621.4594104,24600,-3.0
1762553622.7513027,24700,-8.0
1762553624.0644503,24800,-4.0
1762553625.3642151,24900,-4.0
1762553626.6674592,25000,-4.0
1762553627.9607017,25100,-7.0
1762553629.2491226,25200,-5.0
1762553630.539501,25300,-7.0
1762553631.8382652,25400,-5.0
1762553633.186882,25500,-7.0
1762553634.4379733,25600,-3.0
1762553635.7333443,25700,0.0
1762553637.0181773,25800,-5.0
1762553638.3612375,25900,-5.0
1762553639.5982702,26000,-4.0
1762553640.858827,26100,-3.0
1762553642.1573415,26200,-11.0
1762553643.4525933,26300,-2.0
1762553644.694898,26400,-3.0
1762553645.939362,26500,-3.0
1762553647.2572777,26600,-8.0
1762553648.5293903,26700,-7.0
1762553649.826597,26800,-1.0
1762553651.090609,26900,-4.0
1762553652.350718,27000,-2.0
1762553653.6713822,27100,-3.0
1762553654.9861984,27200,-11.0
1762553656.3044403,27300,-3.0
1762553657.6438584,27400,-8.0
1762553658.9677882,27500,-14.0
1762553660.2945848,27600,-7.0
1762553661.6107163,27700,-5.0
1762553662.9447527,27800,-3.0
1762553664.339357,27900,-4.0
1762553665.66665,28000,-5.0
1762553667.000665,28100,-3.0
1762553668.3359954,28200,-3.0
1762553669.6739001,28300,-6.0
1762553670.9976614,28400,-8.0
1762553672.316394,28500,-5.0
1762553673.6695528,28600,-4.0
1762553675.0011241,28700,-5.0
1762553676.261705,28800,-5.0
1762553677.5347345,28900,-3.0
1762553678.80976,29000,-8.0
1762553680.0758185,29100,-3.0
1762553681.3554869,29200,-10.0
1762553682.6405084,29300,-8.0
1762553683.9191916,29400,-7.0
1762553685.207465,29500,-4.0
1762553686.4881375,29600,-1.0
1762553687.7709603,29700,-6.0
1762553689.043203,29800,0.0
1762553690.3219557,29900,-2.0
1762553691.606667,30000,-3.0
1762553693.0115798,30100,-5.0
1762553694.2969575,30200,-6.0
1762553695.6360474,30300,-8.0
1762553696.9827533,30400,-2.0
1762553698.3882987,30500,-7.0
1762553699.744189,30600,-4.0
1762553701.102746,30700,-6.0
1762553702.4656613,30800,-1.0
1762553703.8345819,30900,-4.0
1762553705.1949584,31000,-3.0
1762553706.5488267,31100,-3.0
1762553707.89579,31200,-7.0
1762553709.2690127,31300,-3.0
1762553710.6200361,31400,-2.0
1762553711.9734921,31500,-3.0
1762553713.392748,31600,-9.0
1762553714.7598615,31700,-2.0
1762553716.1190689,31800,0.0
1762553717.4691648,31900,-5.0
1762553718.8297276,32000,-3.0
1762553720.1893094,32100,-7.0
1762553721.567841,32200,-7.0
1762553722.9403074,32300,-3.0
1762553724.3221908,32400,-4.0
1762553725.6951857,32500,-9.0
1762553726.9962566,32600,-9.0
1762553728.3293881,32700,-3.0
1762553729.7799342,32800,-8.0
1762553731.1103325,32900,-5.0
1762553732.4159167,33000,-7.0
1762553733.7696328,33100,-6.0
1762553735.1493435,33200,-6.0
1762553736.5475812,33300,-6.0
1762553737.934817,33400,-3.0
1762553739.325569,33500,-4.0
1762553740.7794166,33600,-3.0
1762553742.1679535,33700,-4.0
1762553743.558121,33800,-2.0
1762553744.9510171,33900,-11.0
1762553746.3499506,34000,-2.0
1762553747.7404628,34100,-13.0
1762553749.0848074,34200,-9.0
1762553750.4055781,34300,-1.0
1762553751.7337677,34400,-5.0
1762553753.0474086,34500,-1.0
1762553754.3567417,34600,-7.0
1762553755.6643693,34700,-3.0
1762553756.9787142,34800,-2.0
1762553758.3352134,34900,-3.0
1762553759.7238073,35000,-10.0
1762553761.1234555,35100,-2.0
1762553762.5010798,35200,-2.0
1762553763.867004,35300,-4.0
1762553765.1996717,35400,-6.0
1762553766.520874,35500,-8.0
1762553767.877392,35600,-5.0
1762553769.2064695,35700,-8.0
1762553770.5879786,35800,-7.0
1762553771.922554,35900,-4.0
1762553773.270105,36000,-4.0
1762553774.640995,36100,-4.0
1762553775.9793127,36200,-6.0
1762553777.3352673,36300,-3.0
1762553778.7272866,36400,-3.0
1762553780.115709,36500,-2.0
1762553781.5172322,36600,-3.0
1762553782.9273396,36700,-3.0
1762553784.321241,36800,-6.0
1762553785.6586683,36900,-4.0
1762553787.0179372,37000,-3.0
1762553788.4074543,37100,-11.0
1762553789.7489965,37200,-9.0
1762553791.0865164,37300,-3.0
1762553792.5046082,37400,-2.0
1762553793.9282348,37500,-7.0
1762553795.2786992,37600,-6.0
1762553796.6942053,37700,-6.0
1762553798.0594416,37800,-6.0
1762553799.4023132,37900,-6.0
1762553800.8268073,38000,-6.0
1762553802.2448072,38100,-8.0
1762553803.6853895,38200,-2.0
1762553805.100991,38300,-5.0
1762553806.5239563,38400,-6.0
1762553807.946495,38500,-3.0
1762553809.38788,38600,-7.0
1762553810.8162494,38700,-5.0
1762553812.312979,38800,-3.0
1762553813.7266126,38900,-4.0
1762553815.1360757,39000,-3.0
1762553816.5528271,39100,-2.0
1762553818.0244823,39200,-6.0
1762553819.4386334,39300,-5.0
1762553820.871875,39400,-5.0
1762553822.3059058,39500,-6.0
1762553823.7205815,39600,-6.0
1762553825.1403482,39700,-7.0
1762553826.5656755,39800,-2.0
1762553828.0123003,39900,-3.0
1762553829.4061403,40000,-4.0
1762553830.8795478,40100,-9.0
1762553832.2649992,40200,-7.0
1762553833.6666923,40300,-4.0
1762553835.0210166,40400,-1.0
1762553836.401379,40500,-8.0
1762553837.7696233,40600,-6.0
1762553839.122438,40700,-1.0
1762553840.508909,40800,-5.0
1762553841.8707087,40900,-3.0
1762553843.230144,41000,-6.0
1762553844.5940406,41100,-7.0
1762553845.9633598,41200,-3.0
1762553847.3731754,41300,-3.0
1762553848.8033288,41400,-1.0
1762553850.2432048,41500,-3.0
1762553851.6889575,41600,-7.0
1762553853.110407,41700,-5.0
1762553854.5692966,41800,-4.0
1762553856.008571,41900,-4.0
1762553857.4378772,42000,-6.0
1762553858.8395722,42100,-4.0
1762553860.2178795,42200,-7.0
1762553861.6669374,42300,-6.0
1762553863.102388,42400,-7.0
1762553864.4990475,42500,-4.0
1762553865.9502213,42600,-3.0
1762553867.4067822,42700,-10.0
1762553868.8569577,42800,-5.0
1762553870.319157,42900,-3.0
1762553871.7572947,43000,-4.0
1762553873.2678993,43100,-4.0
1762553874.725592,43200,-4.0
1762553876.1683433,43300,-4.0
1762553877.6699615,43400,-2.0
1762553879.1115334,43500,-4.0
1762553880.5028856,43600,-5.0
1762553881.9069796,43700,-4.0
1762553883.393875,43800,-9.0
1762553884.846185,43900,-5.0
1762553886.310218,44000,-4.0
1762553887.8554382,44100,-3.0
1762553889.3224983,44200,-6.0
1762553890.780735,44300,-3.0
1762553892.2197645,44400,-8.0
1762553893.7132275,44500,-5.0
1762553895.156887,44600,-9.0
1762553896.5779095,44700,-2.0
1762553897.9779112,44800,-4.0
1762553899.4374409,44900,0.0
1762553900.8990374,45000,-4.0
1762553902.3687015,45100,-4.0
1762553903.8754091,45200,-7.0
1762553905.3254385,45300,-4.0
1762553906.778074,45400,-3.0
1762553908.2461371,45500,-9.0
1762553909.7659993,45600,-4.0
1762553911.229011,45700,-2.0
1762553912.6995947,45800,-4.0
1762553914.2448335,45900,-6.0
1762553915.7060304,46000,-2.0
1762553917.1716063,46100,-9.0
1762553918.6326904,46200,-4.0
1762553920.1143837,46300,-2.0
1762553921.5834286,46400,-6.0
1762553923.0389957,46500,-5.0
1762553924.4417164,46600,-5.0
1762553925.8478148,46700,-9.0
1762553927.2815118,46800,-6.0
1762553928.7573383,46900,-2.0
1762553930.2368202,47000,-5.0
1762553931.6648307,47100,-7.0
1762553933.0608628,47200,-2.0
1762553934.4666753,47300,-3.0
1762553935.86319,47400,-5.0
1762553937.2637222,47500,-9.0
1762553938.6624334,47600,-6.0
1762553940.0641634,47700,-4.0
1762553941.456804,47800,-2.0
1762553942.852893,47900,-4.0
1762553944.3182638,48000,-4.0
1762553945.7987099,48100,-5.0
1762553947.2655628,48200,-2.0
1762553948.698136,48300,-3.0
1762553950.100942,48400,-6.0
1762553951.5211718,48500,-5.0
1762553952.9984171,48600,-5.0
1762553954.474566,48700,-2.0
1762553955.946435,48800,-4.0
1762553957.4474583,48900,-6.0
1762553958.923951,49000,-4.0
1762553960.3906145,49100,-4.0
1762553961.8624809,49200,-3.0
1762553963.3514743,49300,-5.0
1762553964.8191476,49400,-3.0
1762553966.3016038,49500,-11.0
1762553967.7809923,49600,-4.0
1762553969.272028,49700,-3.0
1762553970.7109926,49800,-6.0
1762553972.1280427,49900,-5.0
1762553973.6215138,50000,-5.0
1762553975.2437994,50100,-8.0
1762553976.7378135,50200,-6.0
1762553978.2112536,50300,-4.0
1762553979.771205,50400,-8.0
1762553981.2626007,50500,-3.0
1762553982.7307096,50600,-8.0
1762553984.214614,50700,-6.0
1762553985.7058163,50800,-6.0
1762553987.2072005,50900,-4.0
1762553988.6908123,51000,-5.0
1762553990.1579366,51100,-4.0
1762553991.5727098,51200,-2.0
1762553992.9898117,51300,-5.0
1762553994.3915484,51400,-5.0
1762553995.796507,51500,-6.0
1762553997.2142963,51600,-3.0
1762553998.6893892,51700,-3.0
1762554000.1756957,51800,-5.0
1762554001.6752477,51900,-3.0
1762554003.1560302,52000,-2.0
1762554004.6344886,52100,-8.0
1762554006.1293163,52200,-7.0
1762554007.6181662,52300,-5.0
1762554009.1291127,52400,-8.0
1762554010.6251612,52500,-5.0
1762554012.112848,52600,-9.0
1762554013.6349707,52700,-4.0
1762554015.0907428,52800,-10.0
1762554016.5785904,52900,-4.0
1762554018.0896215,53000,-4.0
1762554019.5567079,53100,-3.0
1762554020.9860291,53200,-4.0
1762554022.4224372,53300,-4.0
1762554023.9224124,53400,-8.0
1762554025.4135568,53500,-2.0
1762554026.9359043,53600,-3.0
1762554028.4376695,53700,-8.0
1762554029.9307125,53800,-8.0
1762554031.3942418,53900,-4.0
1762554032.8791957,54000,-9.0
1762554034.337065,54100,-4.0
1762554035.7669992,54200,-4.0
1762554037.1855626,54300,-5.0
1762554038.6427584,54400,-4.0
1762554040.1344922,54500,-3.0
1762554041.6491847,54600,-7.0
1762554043.156023,54700,-4.0
1762554044.597701,54800,-6.0
1762554046.0139987,54900,-4.0
1762554047.4579568,55000,-3.0
1762554048.8912795,55100,-5.0
1762554050.3512962,55200,-3.0
1762554051.86823,55300,-3.0
1762554053.3915994,55400,-5.0
1762554054.822081,55500,-7.0
1762554056.2502081,55600,-2.0
1762554057.69728,55700,-6.0
1762554059.1275184,55800,-2.0
1762554060.622545,55900,-5.0
1762554062.1166894,56000,-4.0
1762554063.6700804,56100,-10.0
1762554065.183049,56200,-5.0
1762554066.7000082,56300,-5.0
1762554068.177176,56400,-4.0
1762554069.6062138,56500,-1.0
1762554071.0428903,56600,-8.0
1762554072.4658453,56700,-5.0
1762554073.9251428,56800,-6.0
1762554075.4245079,56900,-4.0
1762554076.9030983,57000,-11.0
1762554078.3728375,57100,-3.0
1762554079.876594,57200,-3.0
1762554081.3050838,57300,-4.0
1762554082.759829,57400,-4.0
1762554084.2202296,57500,-7.0
1762554085.735991,57600,-10.0
1762554087.260926,57700,-6.0
1762554088.7709033,57800,-5.0
1762554090.2875404,57900,-6.0
1762554091.738408,58000,-4.0
1762554093.2336378,58100,-7.0
1762554094.8127623,58200,-5.0
1762554096.2637255,58300,-3.0
1762554097.7090895,58400,-2.0
1762554099.1484761,58500,-6.0
1762554100.6525538,58600,-7.0
1762554102.1528778,58700,-4.0
1762554103.6780877,58800,-4.0
1762554105.190219,58900,-10.0
1762554106.7006574,59000,-7.0
1762554108.1344543,59100,-7.0
1762554109.5943189,59200,-5.0
1762554111.0750246,59300,-4.0
1762554112.6428554,59400,-5.0
1762554114.1243834,59500,-8.0
1762554115.6106486,59600,-4.0
1762554117.0488603,59700,-6.0
1762554118.5325575,59800,-4.0
1762554120.006522,59900,-5.0
1762554121.5041425,60000,-2.0
1762554123.0563235,60100,-5.0
1762554124.4937973,60200,-5.0
1762554125.9309354,60300,-5.0
1762554127.3681567,60400,-6.0
1762554128.8206322,60500,-13.0
1762554130.2560067,60600,-2.0
1762554131.7071357,60700,-6.0
1762554133.1541407,60800,-5.0
1762554134.6648936,60900,-4.0
1762554136.129948,61000,-3.0
1762554137.5757818,61100,-8.0
1762554139.0615017,61200,-3.0
1762554140.517393,61300,-8.0
1762554142.0078428,61400,-7.0
1762554143.4704244,61500,-4.0
1762554144.9652143,61600,-6.0
1762554146.4130478,61700,-5.0
1762554147.8502965,61800,-4.0
1762554149.3164,61900,-9.0
1762554150.7721875,62000,-7.0
1762554152.2261827,62100,-5.0
1762554153.6988416,62200,-7.0
1762554155.3026536,62300,-4.0
1762554156.8423984,62400,-8.0
1762554158.3705583,62500,-3.0
1762554159.9697282,62600,-7.0
1762554161.5061061,62700,-7.0
1762554163.0597808,62800,-7.0
1762554164.6097136,62900,-6.0
1762554166.1421206,63000,-5.0
1762554167.6632283,63100,-2.0
1762554169.1403422,63200,-3.0
1762554170.6029456,63300,-5.0
1762554172.0554543,63400,-6.0
1762554173.5443187,63500,-12.0
1762554175.0060878,63600,-2.0
1762554176.457157,63700,-6.0
1762554177.932897,63800,-4.0
1762554179.4577768,63900,-2.0
1762554180.9727876,64000,-6.0
1762554182.447427,64100,-6.0
1762554183.9420657,64200,-7.0
1762554185.4197452,64300,-8.0
1762554186.9594047,64400,-5.0
1762554188.4949062,64500,-6.0
1762554190.0431607,64600,-4.0
