Wall time,Metrics/EnvironmentSteps,Metrics/AverageReturn
1762541149.5543308,100,-100.0
1762541150.2383432,200,-87.0
1762541150.910214,300,-91.0
1762541151.623414,400,-100.0
1762541152.2793632,500,-100.0
1762541152.9432776,600,-100.0
1762541153.6345415,700,-100.0
1762541154.3448553,800,-100.0
1762541155.0553086,900,-100.0
1762541155.7909553,1000,-100.0
1762541156.5272894,1100,-100.0
1762541157.2390935,1200,-100.0
1762541157.9334438,1300,-100.0
1762541158.6411078,1400,-100.0
1762541159.3387644,1500,-100.0
1762541160.0508945,1600,-100.0
1762541160.7751267,1700,-100.0
1762541161.552491,1800,-100.0
1762541162.2903879,1900,-100.0
1762541163.051996,2000,-100.0
1762541163.808612,2100,-100.0
1762541164.5572088,2200,-100.0
1762541165.2899241,2300,-100.0
1762541166.0248466,2400,-100.0
1762541166.7890704,2500,-100.0
1762541167.576482,2600,-100.0
1762541168.3666856,2700,-100.0
1762541169.1747284,2800,-92.0
1762541169.939094,2900,-100.0
1762541170.6942463,3000,-100.0
1762541171.4536073,3100,-100.0
1762541172.207486,3200,-100.0
1762541172.9825191,3300,-100.0
1762541173.7457845,3400,-100.0
1762541174.5683932,3500,-96.0
1762541175.3729355,3600,-91.0
1762541176.1565115,3700,-100.0
1762541176.9334128,3800,-100.0
1762541177.7177384,3900,-100.0
1762541178.5079641,4000,-100.0
1762541179.2830498,4100,-100.0
1762541180.0978105,4200,-98.0
1762541180.9081507,4300,-100.0
1762541181.7398813,4400,-95.0
1762541182.5646565,4500,-100.0
1762541183.4425738,4600,-97.0
1762541184.2952414,4700,-86.0
1762541185.1365218,4800,-97.0
1762541185.9568567,4900,-100.0
1762541186.7988794,5000,-59.0
1762541187.6355884,5100,-99.0
1762541188.5050902,5200,-74.0
1762541189.3290975,5300,-72.0
1762541190.1481285,5400,-62.0
1762541190.9936357,5500,-18.0
1762541191.8331947,5600,-78.0
1762541192.7373207,5700,-88.0
1762541193.5781033,5800,-60.0
1762541194.4181788,5900,-41.0
1762541195.3051589,6000,-59.0
1762541196.1660047,6100,-25.0
1762541197.033487,6200,-31.0
1762541197.8765156,6300,-37.0
1762541198.7339325,6400,-37.0
1762541199.6146548,6500,-50.0
1762541200.5226912,6600,-35.0
1762541201.4506216,6700,-17.0
1762541202.418365,6800,-16.0
1762541203.3081212,6900,-13.0
1762541204.188981,7000,-27.0
1762541205.0698342,7100,-18.0
1762541205.987737,7200,-12.0
1762541206.935055,7300,-14.0
1762541207.8765564,7400,-7.0
1762541208.8145828,7500,-1.0
1762541209.7585492,7600,-6.0
1762541210.7168927,7700,-15.0
1762541211.7332199,7800,-17.0
1762541212.7055304,7900,-9.0
1762541213.6492038,8000,-10.0
1762541214.5664155,8100,-13.0
1762541215.5048003,8200,-9.0
1762541216.4583447,8300,-8.0
1762541217.5000484,8400,-8.0
1762541218.4762347,8500,-4.0
1762541219.470008,8600,-4.0
1762541220.457026,8700,-9.0
1762541221.4434147,8800,-1.0
1762541222.432406,8900,-3.0
1762541223.4102895,9000,-5.0
1762541224.3846347,9100,-5.0
1762541225.313542,9200,-5.0
1762541226.324914,9300,-6.0
1762541227.4030168,9400,-6.0
1762541228.401146,9500,-2.0
1762541229.3762844,9600,-9.0
1762541230.34114,9700,-7.0
1762541231.325584,9800,-3.0
1762541232.328378,9900,-4.0
1762541233.4144409,10000,-5.0
1762541234.5630887,10100,-5.0
1762541235.5712178,10200,-1.0
1762541236.567408,10300,-3.0
1762541237.5627763,10400,-4.0
1762541238.538533,10500,-5.0
1762541239.520473,10600,-3.0
1762541240.5083306,10700,-3.0
1762541241.539607,10800,-4.0
1762541242.6230206,10900,-8.0
1762541243.6790228,11000,-2.0
1762541244.7205098,11100,-1.0
1762541245.785838,11200,0.0
1762541246.838822,11300,-3.0
1762541247.9077072,11400,-4.0
1762541248.9733799,11500,-1.0
1762541250.048727,11600,-4.0
1762541251.1209743,11700,-3.0
1762541252.2008154,11800,-6.0
1762541253.275406,11900,-3.0
1762541254.3509803,12000,-5.0
1762541255.3793776,12100,-4.0
1762541256.4510758,12200,-4.0
1762541257.4834692,12300,-2.0
1762541258.5254998,12400,-3.0
1762541259.5591722,12500,-6.0
1762541260.6186821,12600,-4.0
1762541261.707525,12700,-5.0
1762541262.7970135,12800,-2.0
1762541263.8425915,12900,-2.0
1762541264.8870304,13000,-6.0
1762541265.940819,13100,-1.0
1762541266.9845648,13200,-1.0
1762541268.0547812,13300,-3.0
