Wall time,Metrics/EnvironmentSteps,Metrics/AverageReturn
1762557056.7831547,100,-100.0
1762557057.4466286,200,-100.0
1762557058.0863183,300,-99.0
1762557058.7550218,400,-100.0
1762557059.4002376,500,-100.0
1762557060.058576,600,-100.0
1762557060.721045,700,-100.0
1762557061.3849938,800,-100.0
1762557062.0566118,900,-100.0
1762557062.7313528,1000,-100.0
1762557063.4217496,1100,-100.0
1762557064.1706023,1200,-100.0
1762557064.8490086,1300,-100.0
1762557065.546255,1400,-99.0
1762557066.2375932,1500,-100.0
1762557066.9255326,1600,-100.0
1762557067.6228855,1700,-100.0
1762557068.3178325,1800,-100.0
1762557069.0176313,1900,-98.0
1762557069.725506,2000,-100.0
1762557070.4517822,2100,-100.0
1762557071.1963444,2200,-98.0
1762557071.9109051,2300,-96.0
1762557072.6195211,2400,-100.0
1762557073.404034,2500,-98.0
1762557074.132969,2600,-100.0
1762557074.9075878,2700,-100.0
1762557075.6466246,2800,-90.0
1762557076.3864908,2900,-100.0
1762557077.1471822,3000,-99.0
1762557077.8879244,3100,-99.0
1762557078.6395292,3200,-86.0
1762557079.3755834,3300,-98.0
1762557080.1250944,3400,-100.0
1762557080.8945901,3500,-100.0
1762557081.6527572,3600,-92.0
1762557082.4181437,3700,-99.0
1762557083.185806,3800,-100.0
1762557083.950952,3900,-95.0
1762557084.7222815,4000,-100.0
1762557085.5001445,4100,-93.0
1762557086.2914424,4200,-100.0
1762557087.0679896,4300,-100.0
1762557087.8610342,4400,-71.0
1762557088.711848,4500,-97.0
1762557089.527671,4600,-100.0
1762557090.3176172,4700,-100.0
1762557091.122753,4800,-90.0
1762557091.958826,4900,-100.0
1762557092.8330464,5000,-89.0
1762557093.7754998,5100,-93.0
1762557094.652344,5200,-94.0
1762557095.5099523,5300,-97.0
1762557096.3698554,5400,-63.0
1762557097.2443125,5500,-79.0
1762557098.105701,5600,-97.0
1762557099.0622327,5700,-100.0
1762557099.9589918,5800,-97.0
1762557100.8423138,5900,-55.0
1762557101.7297778,6000,-99.0
1762557102.57989,6100,-73.0
1762557103.4381623,6200,-55.0
1762557104.290442,6300,-70.0
1762557105.1497738,6400,-62.0
1762557106.0398462,6500,-42.0
1762557106.9592195,6600,-77.0
1762557107.8785913,6700,-29.0
1762557108.811742,6800,-70.0
1762557109.6881938,6900,-67.0
1762557110.5868185,7000,-40.0
1762557111.4680037,7100,-39.0
1762557112.3419704,7200,-66.0
1762557113.2192776,7300,-34.0
1762557114.1146266,7400,-20.0
1762557115.0137177,7500,-36.0
1762557115.9564083,7600,-19.0
