Wall time,Metrics/EnvironmentSteps,Metrics/AverageReturn
1763156515.2495356,100,-96.0
1763156516.0380082,200,-100.0
1763156516.817757,300,-100.0
1763156517.6155505,400,-100.0
1763156518.4018424,500,-100.0
1763156519.195031,600,-100.0
1763156519.9924998,700,-95.0
1763156520.800361,800,-100.0
1763156521.6110356,900,-100.0
1763156522.4474015,1000,-100.0
1763156523.2719162,1100,-100.0
1763156524.0976348,1200,-98.0
1763156524.9134321,1300,-100.0
1763156525.7602491,1400,-100.0
1763156526.610621,1500,-100.0
1763156527.4623332,1600,-100.0
1763156528.3098023,1700,-100.0
1763156529.1721961,1800,-100.0
1763156530.0284078,1900,-100.0
1763156530.8991187,2000,-100.0
1763156531.766894,2100,-100.0
1763156532.627808,2200,-100.0
1763156533.4797256,2300,-100.0
1763156534.3411992,2400,-100.0
1763156535.214565,2500,-100.0
1763156536.0492527,2600,-99.0
1763156536.952293,2700,-100.0
1763156537.788578,2800,-100.0
1763156538.6640503,2900,-100.0
1763156539.5093658,3000,-100.0
1763156540.3489497,3100,-100.0
1763156541.187813,3200,-100.0
1763156542.088949,3300,-100.0
1763156542.9398358,3400,-100.0
1763156543.7953484,3500,-100.0
1763156544.6431854,3600,-100.0
1763156545.5004237,3700,-100.0
1763156546.3671463,3800,-100.0
1763156547.2357464,3900,-100.0
1763156548.0973816,4000,-99.0
1763156549.063162,4100,-100.0
1763156549.9863834,4200,-100.0
1763156550.9349554,4300,-98.0
1763156551.880057,4400,-100.0
1763156552.8193126,4500,-100.0
1763156553.8091269,4600,-100.0
1763156554.7501347,4700,-100.0
1763156555.7060966,4800,-100.0
1763156556.669207,4900,-100.0
1763156557.6177385,5000,-100.0
1763156558.53055,5100,-100.0
1763156559.4620512,5200,-100.0
1763156560.4403172,5300,-100.0
1763156561.4360042,5400,-100.0
1763156562.4233475,5500,-100.0
1763156563.3855565,5600,-91.0
1763156564.3322344,5700,-100.0
1763156565.2752624,5800,-100.0
1763156566.2191565,5900,-100.0
1763156567.1646917,6000,-95.0
1763156568.1251998,6100,-100.0
1763156569.1343527,6200,-100.0
1763156570.154482,6300,-100.0
1763156571.172304,6400,-100.0
1763156572.2041826,6500,-99.0
1763156573.2330003,6600,-100.0
1763156574.2576706,6700,-97.0
1763156575.3031378,6800,-98.0
1763156576.342253,6900,-89.0
1763156577.3850563,7000,-100.0
1763156578.4286134,7100,-100.0
1763156579.478498,7200,-100.0
1763156580.5268173,7300,-94.0
1763156581.5723608,7400,-100.0
1763156582.5901453,7500,-100.0
1763156583.5952868,7600,-100.0
1763156584.628688,7700,-100.0
1763156585.6987653,7800,-100.0
1763156586.7725723,7900,-72.0
1763156587.8337798,8000,-94.0
1763156588.879045,8100,-100.0
1763156589.9079714,8200,-97.0
1763156590.9935484,8300,-100.0
1763156592.0871499,8400,-99.0
1763156593.1831648,8500,-96.0
1763156594.2796204,8600,-96.0
1763156595.3755178,8700,-88.0
1763156596.4365714,8800,-100.0
1763156597.4848187,8900,-100.0
1763156598.575822,9000,-93.0
1763156599.683537,9100,-100.0
1763156600.7963781,9200,-100.0
1763156601.9145813,9300,-91.0
1763156603.0374572,9400,-100.0
1763156604.156004,9500,-100.0
1763156605.279009,9600,-100.0
1763156606.3509166,9700,-100.0
1763156607.4446156,9800,-100.0
1763156608.5350938,9900,-98.0
1763156609.623724,10000,-90.0
1763156610.845056,10100,-100.0
1763156611.9365804,10200,-91.0
1763156613.0632877,10300,-100.0
1763156614.199065,10400,-100.0
